,Code,Date,Title,Contents,Readcnt,Agreecnt,Disagreecnt
0,086520,2023-08-31,언제 자금이 유입되나... 언제? /// ,1조이상 들어온다면서 --,10,0,0
1,086520,2023-08-31,에코프로 8.31 액티브 자금 유입 9.1패시브 자금 1.7조 2조 유입,에코프로 8.31 액티브 자금 유입 9.1패시브 자금 1.7조 2조 유입,17,0,0
2,086520,2023-08-31,에코프로 상승끝나기 2주전입니다,에코프로 상승2주남았음2주후에는 급락예상합니다.누구는 매수하라 하고 누구는 매도라하라 하는데전 2주후에 급락 매도에 베팅하겠습니다.,35,0,0
3,086520,2023-08-31,개인만 파네요,외인 쌍끌히 매수중.. 개인들 이러니 돈 못 벌지요3년 가져가라니까.. 400~500만은 무조건 가요,26,0,0
4,086520,2023-08-31,애플1.94% 기술주대장 테슬라 %엔비디아 2%마이크론테크론지 2%,애플1.94% 기술주대장 테슬라 %엔비디아 2%마이크론테크론지 2%,12,0,0
5,086520,2023-08-30,내달 에코프로머티리얼즈 &#39;상장심사 속도&#39;…이르면 연내 상장,"내달 에코프로머티리얼즈 &amp;amp; #39;상장심사 속도&amp;amp; #39;…이르면 연내 상장https:&amp; #x2F;&amp; #x2F;naver.me&amp; #x2F;xC1agAje에코프로의 FTSE 본지수 편입에 대한 확정은 9월초이며, 약 1조원 수준의 자금이 유입될 것으로 예상된다. https:&amp; #x2F;&amp; #x2F;thankskys.tistory.com&amp; #x2F;entry&amp; #x2F;ECOPRO-FTSE에코프로 MSCI 리밸런싱 수요 1조7400억원으로 추정 https:&amp; #x2F;&amp; #x2F;economist.co.kr&amp; #x2F;article&amp; #x2F;view&amp; #x2F;ecn202307140022",15,0,0
6,086520,2023-08-30,에코프로(비엠) 빨리 짐싸서 코스피로 이전 상장해야 합니다,2차전지 소재 기술력 세계 1위 기업을 못잡아 먹는 음해세력들 작살 내기 위해서라도 코스피로 이전 상장해야 합니다.,153,0,0
7,086520,2023-08-30,미래 먹거리 2차전지 산업 대표기업 에코프로.. ,"우리나라 미래 먹거리 산업인 2차전지산업 정부차원에서 보호하고 적극 지원에 나서야 합니다. 중국산 배터리 들어간 전기차 환경부에 얘기해서 국민 세금으로 보조금 지급 막아야 합니다. 국내 기업들 배터리 기술력 세계 1위인데 국내 기업들 생산한 배터리 장착한 전기차에만 보조금 지급해야 합니다. 또한 국내 2차전지 기업들 중국업체로부터 보호하고 경쟁에서 밀리지 않도록 정부차원에서의 적극적인 지원이 필요합니다. 우리기업들이 다 장악할수 있는 시장을 중국업체들에게 뺏기는 어리석은 짓은 하지  말아야지요..아래 내용은 어제 나온 기사이니 참고들 하세요..국내 전기차 시장에 중국산 배터리가 빠르게 침투하고 있다. 중국산은 품질이 떨어진다는 인식이 있지만, 장착 비중은 계속 높아지고 있다. 중국 배터리 업체들은 ‘중국산(産)’이라는 딱지를 떼고, 미국 인플레이션법(IRA)을 우회하기 위해 한국에 생산 거점을 두려는 움직임을 보인다. 30일 자동차 업계에 따르면 현대차 코나 일렉트릭, 기아 니로 EV, 레이 EV(출시 예정), KG모빌리티 EVX 등은 모두 중국산 배터리를 장착했다. 테슬라 모델Y RWD(뒷바퀴 굴림), 메르세데스-벤츠 EQE 등에도 중국산 배터리가 장착돼 있다.보통은 삼원계(니켈·코발트·망간) 리튬이온 배터리를 장착하지만, 최근에는 한 단계 아래로 평가받는 리튬인산철(LFP) 배터리 장착도 늘고 있다.오는 9월 출시 예정인 기아 레이 EV와 테슬라 모델Y RWD, KG모빌리티 토레스 EVX에는 중국 CATL과 BYD(비야디)의 LFP 배터리가 각각 들어간다. 내년 초 출시하는 현대차 캐스퍼 일렉트릭(가칭)에도 CATL LFP 배터리가 장착될 예정이다.LFP배터리는 에너지 밀도가 낮은 게 단점이다. 그러나 구조가 안정적이어서 삼원계에 비해 화재 가능성이 작고, 흔한 소재를 원료로 해 가격도 저렴하다. 최근에는 에너지 밀도를 높인 LFP배터리도 속속 개발되고 있다. 일반적으로 에너지 밀도가 높으면 전기차 주행거리가 길어진다.중국 배터리 회사들은 한국에서 생산하기 위한 준비에도 착수했다. 블룸버그 보도에 따르면 중국·한국 기업들은 총 5조1000억원(약 40억달러) 규모의 합작 투자로 한국 내 5개 공장을 신설하기로 했다.BYD는 KG모빌리티와 배터리 합작공장을 세운다. 공장 규모와 위치는 알려지지 않았지만, 2025년 1월 양산을 목표로 한다. 닝보론베이뉴에너지테크놀로지는 전북 새만금에 연산 8만t(톤) 규모의 삼원계 전구체 배터리 공장을 짓기로 했다. 이 회사는 “한국에서 생산한 제품은 IRA에서 요구하는 핵심 광물 관련 사항을 충족한다”며 “유럽과 미국 시장에 수출할 때는 관세 혜택을 누릴 수 있다”고 했다.중국 최대 배터리 전구체 기업 거린메이는 지난 3월 SK온과 배터리 소재 생산을 위한 합작법인을 설립하기로 했다. 세계 1위 코발트 생산업체 화유코발트는 올해 초 포스코퓨처엠 등과 전구체, 고순도 니켈 원료 생산을 위한 합작투자를 진행하기로 했다.전구체는 리튬배터리의 핵심 소재인 양극활물질의 원료다. 전구체의 성능이 전체 배터리 성능을 좌우한다고 할 정도로 중요하다.중국 업체들은 이 전구체를 한국에서 대량 생산해 LG에너지솔루션, 삼성SDI, SK온 등 한국 배터리 회사에 공급하고, 이렇게 생산된 배터리는 테슬라, GM, 현대차, 폭스바겐 등이 만드는 전기차에 장착된다.",89,1,0
8,086520,2023-08-30,테슬라 7%화력집중,테슬라 7%화력집중,30,0,0
9,086520,2023-08-30,애플 기술주대장 테슬라 6%엔비디아 4%비트코인6%진입,애플 기술주대장 테슬라 6%엔비디아 4%비트코인6%진입,13,0,0
