,Code,Date,Title,Contents
0,003800,2023-08-24,여기 주주들은 무슨생각함? [2],['종목탐색하다 우연히 발견했는데 주가 주주들이랑 같이 한강간것같은데?']
1,003800,2023-08-14,에이스 [4],"['배당이나 받지 뭐\r', '하면서 모아가면 됨']"
2,003800,2023-08-13,에이스침대 굿잡ㅎㅎ [3],['https://investingidea.co.kr/%ea%b1%b4%ec%9e%90%ec%9e%ac-%ea%b4%80%eb%a0%a8%ec%a3%bc/']
3,003800,2023-08-04,5퍼 이상이면 고배당주네?? [3],['눈여겨 보고 있음..']
4,003800,2023-08-01,에이스 침대 호재 [4],"['https://www.todaysnewspick.com/2023/08/blog-post.html\r', ' ', '뉴스 읽어보셈 이리되면 배당주가 안정적이지']"
5,003800,2023-08-01,2만원 [5],['아래서 매수해볼랍니다']
6,003800,2023-08-01,흔들리지 않는 [3],"['편안함\r', ' ', '앗\r', ' ', '그것은 시몬스침대였나ㅡㅇㅡㅋ']"
7,003800,2023-08-01,타종목 익절후 츄매^^ [3],['ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ']
8,003800,2023-08-01,츄매완료^^ [3],['ㅎㅎㅎㅎㅎㅎㅎㅎ']
9,123860,2023-08-30,프로그램 매매동향 (8월 29일),"['8월 29일 총거래량 22,920주 중 외국인 프로그램 매매동향은\r', ' ', '9,893주를 24,360원에 매도하고 2,177주를 24,345원에 매수하였습니다.\r', ' ', '올 들어 외국인 프로그램 매매동향을 보면 1,890,134주를 평균단가 18,327원에 매도하고,\r', ' ', '1,933,094주를 평균단가 18,204원에 매수해서 순매수 수량이 42,960주네요.\r', ' ', '참고로 2022년에는 980,184주를 평균단가 24,582원에 매도하고\r', ' ', '865,511주를 평균단가 24,522원에 매수했고\r', ' ', '2021년 1월 29일부터 2022년 12월 29일까지 프로그램 순매도 수량은 251,901주네요.\r', ' ', '프로그램 매도가 CFD매매를 통한 공매도 인지는 모르겠지만\r', '앞으로 추가 프로그램 매도 가능한 최대수량은 현재 외국인 잔고인 216,565주로 보이고,\r', '대차잔고는 75,450주네요']"
10,123860,2023-08-29,이제는 아나패스의 턴 [3],"['옆동네 일로,\r', '주말내내 아나패스가 대박난다고 거품 물던,\r', '그 인간들은 그새 그 글들 지우고 이미 도망갔지.\r', ' ', '월요일부터 대박 난다고 그렇게 거품 물더니,\r', '옆동네가 날아갈땐 가만히 있고,\r', '옆동네가 하락할땐 같이 하락하네.\r', ' ', '이제는 아나패스의 턴이 될 것인가?\r', '주주님들 하면서 이제는 이경호가 입장문을 올리게 될까?\r', ' ', '알다시피, 담보대출로 주식을 모두 담보잡힌 상황이니,\r', '이제는 아이짱의 결단을 기다려 보기로 한다.\r', ' ', '지켜보는 것만으로도 참 재밌는 아나패스 게시판이다.\r', '오늘도 정말 즐거운 하루를 보낸다.\r', ' ', '그럼, 계속 수고들~']"
11,123860,2023-08-29,아나패스가 대박난다 [7],"['대표이사 자리에서 해임된,\r', '옆동네 대표가 옆동네 홈피에 올린,\r', ' ', '옆동네 대표가 옆동네 주주들에게 쓴,\r', '옆동네 대표의 당연한 입장문 가지고,\r', ' ', '아나패스가 대박난다고 주말내내 그렇게 거품 물더니,\r', '그 인간들 다 어디갔니?\r', ' ', '월요일부터 아나패스 대박난다며?\r', '그 글들 지우고 그 인간들 다 어디갔니?\r', ' ', '항상 예상을 벗어나질 않네.\r', '어찌 이리도 발전이 없이 언제나 한결 같을까.\r', ' ', '참 재밌네,\r', '나는 이렇게 재미있는 게시판은 본 적이 없다.\r', ' ', '그럼, 계속 수고들~']"
12,123860,2023-08-29,프로그램 매매동향 (8월 28일),"['8월 28일 총거래량 51,571주 중 외국인 프로그램 매매동향은\r', ' ', '2,254주를 24,401원에 매도하고 22,470주를 24,655원에 매수하였습니다.\r', ' ', '올 들어 외국인 프로그램 매매동향을 보면 1,880,241주를 평균단가 18,295원에 매도하고,\r', ' ', '1,930,917주를 평균단가 18,197원에 매수해서 순매수 수량이 50,676주네요.\r', ' ', '참고로 2022년에는 980,184주를 평균단가 24,582원에 매도하고\r', ' ', '865,511주를 평균단가 24,522원에 매수했고\r', ' ', '2021년 1월 29일부터 2022년 12월 29일까지 프로그램 순매도 수량은 251,901주네요.\r', ' ', '프로그램 매도가 CFD매매를 통한 공매도 인지는 모르겠지만\r', '앞으로 추가 프로그램 매도 가능한 최대수량은 현재 외국인 잔고인 224,281주로 보이고,\r', '대차잔고는 75,450주네요']"
13,123860,2023-08-29,"아이패드 OLED 연 1,000만대 [2]",['https://n.news.naver.com/mnews/article/138/0002155401?sid=105']
14,123860,2023-08-28,다들 정말 한결같네 [5],"['khtw****\r', 'qkqh****\r', 'sann****\r', ' ', '그렇게 아나패스 대박난다고 거품 물더니,\r', '어느새 글지우고 도망친 인간들이다.\r', ' ', '내가 뭐라고 지적을 좀 했더니,\r', '식겁했는지 바로 다시는 게시판에 안오겠다고 하더라.\r', ' ', '그래도 얘네들은 인사라도 하고 갔지,\r', '인사도 없이 은근슬쩍 글지우고 잠수탄 인간도 있다.\r', ' ', '아나패스 찬티들은 왜 다들 이모양 이수준일까?\r', '조금도 발전이라는게 없이 다들 정말 한결같네.\r', ' ', '여기 찬티들 글 올라올 때마다,\r', '잠시후 글지우고 도망가는 그 모습이 상상이 되니,\r', '매번 정말 얼마나 웃었던지,\r', ' ', '참 재밌네,\r', '나는 이렇게 재미있는 게시판은 본 적이 없다.\r', ' ', '그럼, 계속 수고들~']"
15,123860,2023-08-28,무조건 아나패스에게 대박 [6],"['대표이사 자리조차 갑자기 해임된,\r', '옆동네 대표가 옆동네 홈피에 올린,\r', ' ', '옆동네 대표가 옆동네 주주들에게 쓴,\r', '옆동네의 당연한 입장문 가지고, \r', ' ', '아나패스가 대박난다고 또 그렇게 거품 물더니,\r', '현재 주가는 어떤지 다들 보고들 있니? \r', ' ', '옆동네에서 무슨 일만 벌어지면 아나패스가 대박인 거야?\r', '근데 매번 찬티들 거품 무는거처럼 언제 대박난 적은 있었고? \r', ' ', '그냥 옆동네에서 무슨 일 생기면,\r', '무조건 아나패스에게 대박인 거야?\r', ' ', '찬티들 주말내내 그렇게 거품 물더니,\r', '그 글들 벌써 다 지우고 도망간 거야? \r', ' ', '오늘도 정말 크게 웃고 간다.\r', '이번주도 내내 함박웃음 즐거울 듯 하다. \r', ' ', '그럼, 계속 수고들~']"
16,123860,2023-08-28,프로그램 매매동향(8월 25일),"['8월 25일 총거래량 35,643주 중 외국인 프로그램 매매동향은\r', ' ', '3,153주를 24,104원에 매도하고 4,889주를 24,136원에 매수하였습니다.\r', ' ', '올 들어 외국인 프로그램 매매동향을 보면 1,877,987주를 평균단가 18,288원에 매도하고,\r', ' ', '1,908,447주를 평균단가 18,121원에 매수해서 순매수 수량이 30,460주네요.\r', ' ', '참고로 2022년에는 980,184주를 평균단가 24,582원에 매도하고\r', ' ', '865,511주를 평균단가 24,522원에 매수했고\r', ' ', '2021년 1월 29일부터 2022년 12월 29일까지 프로그램 순매도 수량은 251,901주네요.\r', ' ', '프로그램 매도가 CFD매매를 통한 공매도 인지는 모르겠지만\r', '앞으로 추가 프로그램 매도 가능한 최대수량은 현재 외국인 잔고인 204,065주로 보이고,\r', '대차잔고는 75,450주네요']"
17,123860,2023-08-27,"럭심아, 보고있니? [7]","['럭심아, 보고있니? \r', ' ', '뉴스마다 아나패스 끼워팔이 약파는 것도 모자라서,\r', '옆동네 무슨 일만 있으면 아나패스가 대박난다고 거품물더니, \r', ' ', '이제는 사람 뇌도 분석하는 게시판이 되었더라. \r', ' ', '럭심아, 보고있니?\r', '잠수탔다고 이런 재밌는 게시판을 놓치고 있는건 아니지? \r', ' ', '애플테마주, 3312억 순이익, 거대한 쓰나미 등등등\r', '럭심이 니가 글지우고 잠수타도 게시판은 이렇게 재미있더라.\r', ' ', '오늘도 게시판 들어왔다가 정말 너무도 크게 웃었다.\r', '지금도 웃음이 계속 나와서 자판치기가 힘들 정도다. \r', ' ', '참 재밌네.\r', '대한민국 역사상 이렇게 재미있는 게시판이 있었을까? \r', ' ', '증권 게시판이 이렇게까지 재미있을 줄이야.\r', '남은 주말 시간동안 계속 웃음이 나올거 같다. \r', ' ', '다들 즐주말들 보내라.\r', '나는 이렇게 재미있는 게시판은 본 적이 없다. \r', ' ', '그럼, 계속 수고들~']"
18,123860,2023-08-26,여의도 소식통과 증권사 [7],"['올라갈 주식이면,\r', '아무리 안티가 글써도 올라갈 거고,\r', ' ', '내려갈 주식이면,\r', '아무리 찬티가 거품 물어도 내려갈 거다.\r', ' ', '안티와 찬티가 세력들이 아니라면,\r', '그들 글은 그저 게시판 글에 지나지 않지.\r', ' ', '다만, 기어나와서 아나패스 대박 나는 듯 매번 거품 무는,\r', '이런 인간들 지켜보는 거 참 재미있다.\r', ' ', '여의도 소식통이 뭐라 했다고?\r', '그런데, 여의도 증권사는 왜 전혀 매수를 안하고 있지?\r', '여의도 소식통이 증권사가 아니라 여의도 구두닦이였나?\r', ' ', '옆동네 해임된 대표가 올린 입장문 가지고 거품 무는거 봐라.\r', '그런데 자기가 주주인 아나패스 이경호는 공지 한번이 없다.\r', ' ', '보면 볼수록 너무도 재밌는 곳이다.\r', '오늘도 너무 웃어서 얼굴이 함박웃음 되었네.\r', ' ', '정말 즐거운 주말이 될거 같다.\r', '그럼, 계속 수고들~']"
19,123860,2023-08-26,gct 진행사항과 앞으로의 일정 [6],"['gct 최대주주 아나패스 대표이사 이경호는,\r', 'gct 상장 관련해서 공지 한번이 없고,\r', ' ', '대표이사 자리조차 해임된 옆동네 대표의,\r', '당연한 입장문 가지고 아나패스에서 또 거품 무는거 봐라.\r', ' ', '옆동네 대표도 그동안 6개월 넘게 아무말도 없다가,\r', '해임되고 나서야 주주님들 거리며 그런 글 올리더라.\r', ' ', '결국 아직도 계약 조율 중이고,\r', '여전히 gct 스팩 계약을 못한 상황이라는 거지.\r', ' ', '근데 gct 최대주주 아나패스 대표이사 이경호는,\r', '이러한 gct 진행사항에 대해 주주들에게 공지조차 없다.\r', ' ', '이러니 옆동네 대표이사 해임되면서 올린 글 가지고,\r', '또다시 아나패스 대박나는 듯 거품무는 인간들이 기어나오는 거지.\r', ' ', '이경호는 주주들에게 지금이라도,\r', 'gct 진행사항과 앞으로의 일정에 대해 공지해야 한다.\r', ' ', '코스닥 상장때도 그리 늦어지는데 공지한번 없다가,\r', '상장실패 하고 나서야 홈페이지에 글 올리더라.\r', ' ', '게시판에서 무슨 일이건 거품무는 인간들이 생기는 건,\r', '바로 이경호가 제대로 gct 상황을 공지하지 않기 때문이다.\r', ' ', '게시판을 보면서,\r', '예상했던대로 기어나오는 인간들을 보며,\r', '오늘도 정말 한참을 웃었다.\r', ' ', '참 재밌네.\r', '이번 주말도 정말 즐거울 듯 하다.\r', ' ', '그럼, 계속 수고들~']"
20,123860,2023-08-26,홍회장 입장문 파문 [2],"['계획에 없던 갑작스런 홍회장 입장문으로\r', '크게 문제가 생긴 이들이 생겨났을 겁니다.\r', '그들의 대응을 주말동안 지겨보며,\r', '월요일 주식시장을 기다리는 이 몇일이\r', '장기보유 주주로서 참 재미있을것 같네요.\r', '그동안 큰 아픔만 받았던 6년 장기보유 주주\r', ' ']"
21,123860,2023-08-26,GCT 나스닥 상장 발표한다는데 [4],"['우회상장 추진중이었고. 로드쇼통해 스팩후보군들 미팅한다고. 했고. 이제 후보를 정했다고 했으니  계약사항 세부조율해서 발표할 예정이라는데. 문제는 언제까지 발표하겠다는게 안나옴\r', '하지만 여의도 소식통들에 따르면 세부조율  마치는대로  발표할것 같다고함\r', '최근 아나패스 주가강세이유.   GCT상장건이 임박했기 때문으로 해석됨.  \r', '월요일 주가보면 최종답이 나올것으로 봄\r', 'GcT가 상장되면 홍회장도 소액주주들 표를 많이 받을것임.  그래서 입장문 낸것 같음 \r', '아나패스는 주가급등으로 조회공시라도 들어오길 기대.  \r', ' ', ' ', ' ', ' ', ' ', ' ']"
22,123860,2023-08-26,이경호는 뭐 할말 없니? [2],"['나스닥 합병 스팩을 결정했는데,\r', '계약사항을 지금 조율중이라니,\r', '이게 무슨 소리인지?\r', ' ', '그 비싼 돈을 주고 나스닥 상장을 진행하면서,\r', '합병 스팩을 결정하고,\r', '그 다음에 계약사항을 조율하나?\r', ' ', '정말 그런거야?\r', '로드쇼하고 계약사항 검토하고 조율한 다음에,\r', '합병 스팩 결정하고 그에따라 상장 진행하는거 아니야?\r', ' ', '게다가 합병 스팩을 여지껏 계약 못했으면,\r', '시간상 아무리 빨라도 올해안에 상장 불가능 하다.\r', ' ', '이건 알만한 사람들은 다 알거다.\r', '게다가 스팩도 여전히 그렇게 계약 조율중이라는데,\r', '뭐 뻔한 스토리 아니겠냐.\r', ' ', '정말 확실히 어디까지 진행중인지 가능성은 있는지,\r', 'gct 최대주주인 아나패스의 대표이사,\r', '이경호는 뭐 할말 없니?\r', ' ', '참 재밌네.\r', '보면 볼수록 참 재미있는 게시판이다.\r', ' ', '그럼, 계속 수고들~']"
23,123860,2023-08-25,$$ 홍전대표 gct 상장글 핵심내용 [7],"['1. 엠벤처 홍 전대표 왈:\r', ' ', '""gct의 미국 상장 건은 합병할 스펙을 정하고 \r', ' ', '계약조항을 조율하고 있는 상태로 \r', ' ', '조만간 지난 6개월 간의 지난한 노력의 \r', ' ', '결실을 볼수 있으리라 사료됩니다.""\r', ' ', '여기서 포인트는 \r', ' ', '""스펙을 정했고 계약 조항을 조율하고 있는 \r', ' ', '상태""가 아니고 \r', ' ', '""스펙을 정하고 계약 조항을 조율하고 있는 \r', ' ', '상태"" 라고 말합니다.\r', ' ', ' ', '스펙상장 의미는 \r', ' ', '스펙을 정함 = 계약조항 확정입니다.  \r', ' ', ' ', '마치 가게를 정하고 물건 값을 흥정하는 것처럼 \r', ' ', '호도하는 식으로 글을 쓴 홍  전대표의 \r', ' ', '잔머리도 이해는 됩니다만...\r', ' ', ' ', '결론적으로 팩트는, \r', ' ', '“아직 아무것도 결정된 것이 없다""입니다.\r', ' ', ' ', '즉, 지난 6개월 간 성과는 제로!  \r', ' ', '코믹하게도, ""지난한 노력""이라고 표현합니다.  \r', ' ', '""지난한!!!!""\r', ' ', '성과를 내지 못하는 사람들이 \r', ' ', '주로 쓰는 표현이지요.  \r', ' ', ' ', '2. 경영상 중요사항이고 내부 정보인 \r', ' ', 'gct상장 이슈를  \r', ' ', '거래소 공시가 아닌 엠벤처 홈페이지에 \r', ' ', '올린 작태는 매우 무책임합니다. \r', ' ', '게다가 아무런 근거도 없이 \r', ' ', '조만간 스펙 상장이 해결될 것같은 \r', ' ', '의도로 글을 씁니다. \r', ' ', '그래서, 법적 책임이 따르는 \r', ' ', '거래소 공시는 차마 못하고, \r', ' ', '지나가는 개도 보는 회사 홈페이지에 \r', ' ', '본인 넋두리 마지막 곁다리로...\r', ' ', '이런 홍 전 대표 홈페이지 넋두리를 보고, \r', ' ', 'gct상장이 이미 확정되었고 \r', ' ', '수파이낸셜과 홍 전대표 간의 gct 상장후 \r', ' ', '이익 배분 암투로 설명하는 분들은\r', ' ', '신규 호구를 끌어들이려는 \r', ' ', '바람잡이일 가능성이 낮지 않습니다.\r', ' ', ' ', '3.  개인적으로는 이번 엠벤처 사태는  \r', ' ', '”지분 경쟁""이라는 작전 테마를 동원한 \r', ' ', '(앞으로도 적절한 간격으로  gct 상장 뉴스를 홈페이지와 언론에 계속 흘리면서)\r', ' ', '수파이낸셜과 홍 전대표가 진행하는 \r', ' ', '공동 작업일 가능성을 더 주목합니다.  \r', ' ', '주가를 끌어 올려서 , \r', ' ', '경영 부실을 해결하려는\r', ' ', ' 의도일 것으로 보입니다.    \r', ' ', '임시주총에서 대표이사 해임안이\r', ' ', '부결 또는 통과되더라도\r', ' ', '주가는 이미 오를대로 올라\r', ' ', '대주주 둘다 잃을 것이 하나도 없다는 속셍!\r', ' ', '게다가 끌어 올린 주가로 유상증자까지!\r', ' ', '주가 작전으로 \r', ' ', '경영부실을 해결하는\r', ' ', '한국시장 특성이기도.  \r', ' ', '==\r', ' ', '이러한 해석에 \r', ' ', '소위 아나패스 열혈 찬티 또는 호구 분들이\r', ' ', '펼치는\r', ' ', '반론과 비공감을 환영합니다.']"
24,123860,2023-08-25,엠벤 홈피에 공지 올라왔네요 [2],"['http://m-vc.co.kr/\r', ' ', '스팩 결정했고 계약조항 조율중이래요~\r', ' ', '뭐 저 소리 10년째지만 이번엔 될지도?']"
25,123860,2023-08-25,qkqh**** 무슨 짓을 한거니? [2],"['qkqh****\r', ' ', '글 지우고 도망가더라도,\r', '니가 한 말과 행동은 사라지지 않는다.\r', ' ', '자기가 한 말과 행동은,\r', '반드시 책임을 져야할 거다.\r', ' ', '아침에 올린 그 글은,\r', '내가 지적하자마자 왜 삭제했니?\r', ' ', 'gct 스팩상장 오늘 내일 확실한 거니?\r', '회사에서 올해안에 상장 완료 약속한거 맞니?\r', ' ', '모두가 사실이라면,\r', '나한테 지적당하자마자 왜 그 글 삭제했니?\r', ' ', '그러면서 왜 갑자기,\r', '앞으로는 글 안쓰겠다고 하니?\r', ' ', 'qkqh****\r', '정말 그동안 게시판에서 무슨 짓을 한거니?\r', ' ', '참 재밌네.\r', '그럼, 계속 수고들~\r', ' ', '=======================\r', ' ', '왜 엠벤처투자는 이 시점에서 대표가 해임되었을까?\r', 'qkqh****2023.08.25. 11:27조회수 17\r', '신고\r', '내가 이사가 아니라 잘은 모르지만...\r', '추축해보면 엠벤처투자는 회사도 작고 대표지분이 적어 사실 그전에도 투자회사들이 맘만 먹으면 언제든 해임가능했을 것이다. 그런데 왜 이제껏 그냥 두었을까? 회사관리나 수익이 많이나서? 엠벤처투자 가 좀 엉망이었던건 누구나 알수있지....사실 그런회사 대표되도 대책이 없었을듯...\r', ' ', '왜 그런데 이시점에서... 주총도 아니고 기습적으로...회장 해임시켰을까?\r', 'Gct는 오늘 내일 스펙 상장 이야기가 나오고 있고...회사에 문의해보니 올해안해는 꼭 상장까지 완료할 계획이라 한다..\r', ' ', '그럼 최소한 8, 9월 까지는 대상자 선정까지 마무리 해야 할것이고...그래도 시간이 빠듯할듯....\r', ' ', '엠벤처투자는 gct2대 주주로 추후 언제든 엑시트 가능할 것이고 막대한 자금이 회수 가능할것이다... 그돈을 다른 투자회사들이 눈독을 들이는게 아닐까?\r', ' ', '지금시점에 경영권을 뺏은 이유가 아닐까 짐작해 본다.\r']"
26,123860,2023-08-25,어떤 할망구는 [2],"['23,800원에 4,000주 손절 했다면서 이실직고 하더니 \r', '지금 주가가 그 위에 있으니 배 아파 디지겄는갑네 ㅋㅋ ㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ \r', '스마~~~일']"
27,123860,2023-08-25,[삭제된 게시물의 답글]왜...룩스님이 ...,"['왜...룩스님이 더이상 글을 적지않는지 알겠다.\t조회 168공감 4비공감 2신고\r', 'qkqh**** 118.235.***.219 |작성자글 더보기\t2023.08.25 12:30\r', ' ', '나도 더이상 게시판글 안적을란다...오르테하고 노답 하고...거머리들이네']"
28,123860,2023-08-25,qkqh**** 책임을 져야 할거다 [9],"['gct 오늘 내일 스팩상장 이야기가 나오고 있다고?\r', '회사에서 올해안에 꼭 상장 완료한다 했다고?\r', ' ', 'qkqh****\r', '니가 올린 글에 책임을 져야 할거다.\r', ' ', '어차피 글 지울 거 뻔하니,\r', '니글은 여기 남겨둔다.\r', ' ', '아나패스 찬티들이 잘하는 거,\r', '다들 잘 알것이다.\r', ' ', '근거도 없이 거품물다,\r', '글 지우고 도망가기잖아.\r', ' ', '글 지우고 도망간다고,\r', '자기가 한 말과 행동은 사라지지 않는다.\r', ' ', '그럼, 계속 수고들~\r', ' ', '=======================\r', ' ', '왜 엠벤처투자는 이 시점에서 대표가 해임되었을까?\r', 'qkqh****2023.08.25. 11:27조회수 17\r', '신고\r', '내가 이사가 아니라 잘은 모르지만...\r', '추축해보면 엠벤처투자는 회사도 작고 대표지분이 적어 사실 그전에도 투자회사들이 맘만 먹으면 언제든 해임가능했을 것이다. 그런데 왜 이제껏 그냥 두었을까? 회사관리나 수익이 많이나서? 엠벤처투자 가 좀 엉망이었던건 누구나 알수있지....사실 그런회사 대표되도 대책이 없었을듯...\r', ' ', '왜 그런데 이시점에서... 주총도 아니고 기습적으로...회장 해임시켰을까?\r', 'Gct는 오늘 내일 스펙 상장 이야기가 나오고 있고...회사에 문의해보니 올해안해는 꼭 상장까지 완료할 계획이라 한다..\r', ' ', '그럼 최소한 8, 9월 까지는 대상자 선정까지 마무리 해야 할것이고...그래도 시간이 빠듯할듯....\r', ' ', '엠벤처투자는 gct2대 주주로 추후 언제든 엑시트 가능할 것이고 막대한 자금이 회수 가능할것이다... 그돈을 다른 투자회사들이 눈독을 들이는게 아닐까?\r', ' ', '지금시점에 경영권을 뺏은 이유가 아닐까 짐작해 본다.']"
