,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,69100,1,2200,3.29,66800,69200,66700,12985997,887150532100,412511974205000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,521000,2,-23000,-4.23,544000,544000,520000,312817,164833659000,121914000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,121400,2,-400,-0.33,121400,122600,121200,1231709,150035164100,88379487111000,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,735000,2,-2000,-0.27,738000,749000,734000,19989,14789696000,52312890000000,71174000,STK
4,005490,KR7005490008,POSCO홀딩스,KOSPI,,562000,2,-17000,-2.94,576000,580000,559000,553176,313573810000,47529031260000,84571230,STK
5,005935,KR7005931001,삼성전자우,KOSPI,,55500,1,1500,2.78,54400,55600,54300,1272585,70091685400,45670211850000,822886700,STK
6,006400,KR7006400006,삼성SDI,KOSPI,,598000,2,-16000,-2.61,615000,615000,598000,75124,45496394000,41121188940000,68764530,STK
7,051910,KR7051910008,LG화학,KOSPI,,572000,2,-11000,-1.89,583000,584000,570000,85247,48952008000,40378820196000,70592343,STK
8,005380,KR7005380001,현대차,KOSPI,,187700,2,-1400,-0.74,188000,188900,186700,138272,25988340100,39704463676200,211531506,STK
9,035420,KR7035420009,NAVER,KOSPI,,212500,2,-2000,-0.93,215000,215500,212000,236051,50434638500,34860430562500,164049085,STK
10,003670,KR7003670007,포스코퓨처엠,KOSPI,,435500,2,-14000,-3.11,449500,450000,431500,328789,143948333500,33735232310000,77463220,STK
11,000270,KR7000270009,기아,KOSPI,,80000,2,-200,-0.25,79400,80600,79200,199349,15950273500,32163536240000,402044203,STK
12,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,1205000,2,-52000,-4.14,1234000,1234000,1189000,389798,470150708000,32086339940000,26627668,KSQ
13,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,311000,2,-13500,-4.16,320500,320500,309000,436161,136940392500,30416217984000,97801344,KSQ
14,012330,KR7012330007,현대모비스,KOSPI,,233500,1,2500,1.08,230000,235000,230000,62010,14444074000,22015569449000,94285094,STK
15,105560,KR7105560007,KB금융,KOSPI,,53700,2,-400,-0.74,54200,54400,53200,368401,19886032900,21668544566400,403511072,STK
16,035720,KR7035720002,카카오,KOSPI,,48700,1,600,1.25,47950,49000,47950,670203,32516456850,21639898083000,444351090,STK
17,068270,KR7068270008,셀트리온,KOSPI,,144700,1,800,0.56,143900,146100,143900,110772,16096967000,21184480819000,146402770,STK
18,028260,KR7028260008,삼성물산,KOSPI,,107100,1,2400,2.29,104800,108000,104700,128455,13746117900,19876867857000,185591670,STK
19,055550,KR7055550008,신한지주,KOSPI,,35600,1,50,0.14,35900,36000,35400,294221,10534106000,18453157400800,518347118,STK
20,066570,KR7066570003,LG전자,KOSPI,,99900,1,1400,1.42,98600,101400,98600,442768,44438545500,16348416618600,163647814,STK
21,096770,KR7096770003,SK이노베이션,KOSPI,,176200,2,-1300,-0.73,179000,180600,174500,215769,38225090500,16292432376800,92465564,STK
22,047050,KR7047050000,포스코인터내셔널,KOSPI,,78200,2,-1000,-1.26,79900,81600,76500,2107470,166534939600,13757162021600,175922788,STK
23,032830,KR7032830002,삼성생명,KOSPI,,67600,3,0,0.0,67100,68100,67100,63374,4280394400,13520000000000,200000000,STK
24,003550,KR7003550001,LG,KOSPI,,83000,1,900,1.1,82600,83900,82500,80460,6693111900,13055982419000,157300993,STK
25,323410,KR7323410001,카카오뱅크,KOSPI,,25950,2,-400,-1.52,26050,26200,25850,277104,7207386600,12372107205150,476767137,STK
26,033780,KR7033780008,KT&G,KOSPI,,87100,1,200,0.23,86400,87400,86400,95870,8336802900,11958176488700,137292497,STK
27,086790,KR7086790003,하나금융지주,KOSPI,,39500,2,-50,-0.13,39400,39800,39350,281179,11139169500,11688187302000,295903476,STK
28,000810,KR7000810002,삼성화재,KOSPI,,246000,2,-500,-0.2,243000,247000,242500,31333,7672546000,11654209902000,47374837,STK
29,015760,KR7015760002,한국전력,KOSPI,,17840,1,20,0.11,17820,17980,17810,422652,7559168010,11452639133680,641964077,STK
30,034020,KR7034020008,두산에너빌리티,KOSPI,,17800,2,-420,-2.31,18290,18550,17800,5110309,92983125250,11401988398800,640561146,STK
31,138040,KR7138040001,메리츠금융지주,KOSPI,,54200,2,-500,-0.91,55200,56700,54100,304859,16807716900,11285407903600,208217858,STK
32,329180,KR7329180004,HD현대중공업,KOSPI,,127000,2,-3800,-2.91,129500,132200,126100,55732,7148499300,11274185732000,88773116,STK
33,018260,KR7018260000,삼성에스디에스,KOSPI,,144800,1,2800,1.97,140600,145200,140600,82161,11802314800,11204305440000,77377800,STK
34,034730,KR7034730002,SK,KOSPI,,151200,1,6700,4.64,145700,154400,145700,172871,26111829500,11067587344800,73198329,STK
35,091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,64700,3,0,0.0,64700,65700,64700,266805,17394778200,10640867642800,164464724,KSQ
36,017670,KR7017670001,SK텔레콤,KOSPI,,48300,1,250,0.52,48050,48600,47900,205929,9942229350,10569640855200,218833144,STK
37,352820,KR7352820005,하이브,KOSPI,,253500,1,1000,0.4,252000,255000,249500,77021,19383305000,10558806589500,41652097,STK
38,010130,KR7010130003,고려아연,KOSPI,,517000,2,-10000,-1.9,523000,523000,507000,47800,24465992000,10269252686000,19863158,STK
39,009150,KR7009150004,삼성전기,KOSPI,,137200,1,1800,1.33,135200,137600,135000,261382,35697048100,10247975091200,74693696,STK
40,316140,KR7316140003,우리금융지주,KOSPI,,11830,2,-80,-0.67,11840,11920,11820,786464,9327854020,8997132125800,760535260,STK
41,009540,KR7009540006,HD한국조선해양,KOSPI,,121700,2,-2000,-1.62,123000,124500,121200,109926,13456622500,8613088217200,70773116,STK
42,024110,KR7024110009,기업은행,KOSPI,,10720,2,-40,-0.37,10740,10800,10680,342540,3673827450,8548405315680,797425869,STK
43,030200,KR7030200000,KT,KOSPI,,32700,2,-300,-0.91,32500,32900,32100,335964,10927088800,8538356121600,261111808,STK
44,003490,KR7003490000,대한항공,KOSPI,,22800,3,0,0.0,22700,22950,22700,247813,5655320600,8395431070800,368220661,STK
45,010950,KR7010950004,S-Oil,KOSPI,,73500,1,500,0.68,73600,74100,73100,86033,6331362600,8274835212000,112582792,STK
46,011200,KR7011200003,HMM,KOSPI,,16530,2,-130,-0.78,16660,16760,16420,705392,11693475700,8083822868880,489039496,STK
47,090430,KR7090430000,아모레퍼시픽,KOSPI,,134400,1,500,0.37,133800,136100,132500,107972,14522355100,7861426809600,58492759,STK
48,022100,KR7022100002,포스코DX,KOSDAQ GLOBAL,우량기업부,51100,2,-5000,-8.91,57000,57800,50200,10372998,559962897800,7768974651900,152034729,KSQ
49,042660,KR7042660001,한화오션,KOSPI,,35550,2,-2800,-7.3,38000,38600,35300,972209,35399858500,7709849334450,216873399,STK
50,259960,KR7259960003,크래프톤,KOSPI,,157000,1,2000,1.29,154300,157500,154300,35716,5575412400,7592950651000,48362743,STK
51,066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,우량기업부,209500,2,-5500,-2.56,213500,215000,207500,279703,58775142500,7592233072000,36239776,KSQ
52,051900,KR7051900009,LG생활건강,KOSPI,,484500,1,20000,4.31,468000,491000,468000,71774,34687594500,7567016446500,15618197,STK
53,010140,KR7010140002,삼성중공업,KOSPI,,8440,2,-370,-4.2,8820,8880,8370,4540941,38939821750,7427200000000,880000000,STK
54,001570,KR7001570001,금양,KOSPI,,124900,2,-4100,-3.18,128600,128600,124500,374647,46992319800,7250449621300,58050037,STK
55,086280,KR7086280005,현대글로비스,KOSPI,,175900,1,3400,1.97,172500,176600,172200,52087,9124205900,6596250000000,37500000,STK
56,028050,KR7028050003,삼성엔지니어링,KOSPI,,33550,2,-450,-1.32,34000,34650,33250,439816,14822821400,6575800000000,196000000,STK
57,326030,KR7326030004,SK바이오팜,KOSPI,,83900,2,-1800,-2.1,85700,86500,83500,83358,7046186300,6570481675000,78313250,STK
58,011070,KR7011070000,LG이노텍,KOSPI,,270500,1,500,0.19,269500,273000,266500,67136,18143455000,6401952443500,23667107,STK
59,402340,KR7402340004,SK스퀘어,KOSPI,,44950,2,-150,-0.33,45050,45900,44750,94210,4254799000,6358967316450,141467571,STK
60,009830,KR7009830001,한화솔루션,KOSPI,,36550,1,100,0.27,36800,37500,36350,437419,16129015000,6282672190800,171892536,STK
61,377300,KR7377300009,카카오페이,KOSPI,,45500,1,250,0.55,44800,45700,44600,50539,2290913350,6101379875500,134096261,STK
62,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,84000,2,-6300,-6.98,89500,89500,83300,470278,40223340100,5988997728000,71297592,STK
63,012450,KR7012450003,한화에어로스페이스,KOSPI,,116200,1,2000,1.75,114400,117600,114300,227873,26442767500,5883206000000,50630000,STK
64,005830,KR7005830005,DB손해보험,KOSPI,,82400,1,700,0.86,81700,83300,81700,54695,4519004504,5833920000000,70800000,STK
