,Theme,Name
0,테마명,[]
1,정유,"['S-Oil', 'GS', 'SK이노베이션']"
2,크래프톤 관련주,"['넵튠', '이노테라피', 'TS인베스트먼트', '카카오게임즈', '크래프톤', '넥슨게임즈', '대성창투', '아주IB투자']"
3,로봇(산업용/협동로봇 등),"['에스비비테크', '스맥', '에스피지', '우림피티에스', '로보스타', '알에스오토메이션', '해성티피씨', '케이피에프', '유일로보틱스', '아진엑스텍', '푸른기술', '러셀', '휴림로봇', '티로보틱스', '에스피시스템스', '신성델타테크', 'TPC', '뉴로메카', '라온테크', '티피씨글로벌', '삼익THK', '포메탈', '퍼스텍', '피제이전자', '현대무벡스', '브이원텍', '서암기계공업', '레인보우로보틱스', '싸이맥스', '코닉오토메이션', '두산', '제우스']"
4,농업,"['대동', '대동기어', '우림피티에스', 'TYM', '대동금속', '아세아텍', '포메탈', '롯데정밀화학', '그린생명과학', '효성오앤비', '우진비앤지', '대유', '농우바이오', '남해화학', '조비', 'KG케미칼', '경농', '동방아그로', '골든센츄리', '성보화학', '누보', '인바이오', '아시아종묘', '카프로']"
5,터치패널(스마트폰/태블릿PC 등),"['파인텍', '미래나노텍', '하이딥', '이미지스', '에코볼트', '유아이디', '이큐셀', '일진디스플', '베셀', '토비스']"
6,철강 주요종목,"['동국씨엠', '동국제강', 'POSCO홀딩스', '현대제철', '포스코스틸리온', '세아베스틸지주', '동국홀딩스', 'KG스틸', '세아제강', '한국철강', '대한제강', '고려제강']"
7,윤활유,"['S-Oil', 'GS', '흥구석유', '극동유화', 'SK이노베이션', '한국쉘석유', '미창석유']"
8,태풍 및 장마,"['대동', '롯데정밀화학', '조비', '남해화학', '코엔텍', '경농', '파루', '동방아그로', '인선이엔티', '하이드로리튬', '뉴보텍']"
9,타이어,"['효성티앤씨', '금호석유', '효성첨단소재', '다이나믹디자인', '코오롱인더', '넥센타이어', '애머릿지', '한국앤컴퍼니', '넥센', '동아타이어', '골든센츄리', '금호타이어', '한국타이어앤테크놀로지']"
10,LPG(액화석유가스),"['S-Oil', 'GS', '중앙에너비스', '흥구석유', '극동유화', 'SK이노베이션', 'E1', 'SK가스', '대성산업']"
11,종합상사,"['효성티앤씨', '포스코인터내셔널', 'LX인터내셔널', 'SK네트웍스', '삼성물산', 'GS글로벌', 'STX', '현대코퍼레이션']"
12,스마트팩토리(스마트공장),"['이삭엔지니어링', '스맥', '포스코DX', '알에스오토메이션', '트윔', '코윈테크', '유일로보틱스', '아진엑스텍', '바이옵트로', '휴림로봇', '에스피시스템스', 'TPC', '라온테크', '삼익THK', 'MDS테크', 'LG', '엠투아이', '현대무벡스', 'SK', '한신기계', '링크제니시스', '오픈베이스', '동국알앤에스', '고영', '효성ITX', '시스웍', '삼성에스디에스', '비엠티', 'LS ELECTRIC', '코닉오토메이션', '에스엠코어', '팸텍', '톱텍', '엠아이큐브솔루션', '더존비즈온', '티라유텍']"
13,탄소나노튜브(CNT),"['금호석유', '엑사이엔씨', '상보', 'LG화학', '제이오', '오픈베이스', '대유플러스']"
14,전기자전거,"['에스피지', '삼성SDI', '이랜텍', '삼천리자전거', 'HL만도', '알톤스포츠', '파워로직스']"
15,자전거,"['한국석유', '에스유홀딩스', '극동유화', '빅텍', '삼천리자전거', '알톤스포츠']"
16,석유화학,"['대한유화', '금호석유', '롯데케미칼', '한화솔루션', 'LG화학', '코오롱인더', 'SK이노베이션', '그린케미칼', 'SKC', 'SK케미칼', 'KPX케미칼', '태광산업', '이수화학', '동성케미컬', '효성화학', '삼양사', '애경케미칼']"
17,차량용블랙박스,"['시너지이노베이션', '백금T&A', 'THE MIDONG', '현대모비스', '앤씨앤', '엠씨넥스', '파인디지털', '제이씨현시스템', '팅크웨어', '모바일어플라이언스']"
18,2차전지(생산),"['LG화학', '삼성SDI', 'SK이노베이션', 'LG에너지솔루션']"
19,제습기,"['에스피지', 'LG전자', '코웨이', '쿠쿠홈시스', '위닉스', '삼성전자', '신일전자', '위니아', '파세코']"
20,홈쇼핑,"['롯데쇼핑', 'GS리테일', 'CJ ENM', '태광산업', '현대홈쇼핑']"
21,3D 프린터,"['스맥', '로보스타', '휴림로봇', 'TPC', '디오', '프로텍', '코렌텍', '티앤알바이오팹', '한국테크놀로지', '신도리코', '모아텍', '하이비젼시스템', '세중', '에스티아이']"
22,페인트,"['벽산', 'KCC', '노루페인트', 'AK홀딩스', '노루홀딩스', '강남제비스코', '삼화페인트', '조광페인트']"
23,모듈러주택,"['에스와이', 'POSCO홀딩스', 'GS건설', '덕신하우징', '코오롱글로벌', '범양건영', '삼성물산', '금강공업', '한신공영', '자연과환경', '아이윈플러스']"
24,건설 대표주,"['DL', '현대건설', 'GS건설', 'DL이앤씨', 'HDC현대산업개발', '삼성물산', '대우건설']"
25,테마파크,"['신세계건설', '시공테크', '현대건설', '국보디자인', '한국종합기술', '이월드']"
26,백화점,"['롯데쇼핑', '대구백화점', '신세계', '현대백화점', '한화갤러리아', '광주신세계', '베뉴지']"
