,Code,Name,Theme
0,247540,에코프로비엠,"['K-뉴딜지수(2차전지)', '2차전지', '2차전지(소재/부품)', 'K-뉴딜지수', '2019 상반기 신규상장']"
1,086520,에코프로,"['K-뉴딜지수(2차전지)', '온실가스(탄소배출권)', '리튬', '2차전지', '2차전지(소재/부품)', 'K-뉴딜지수', '폐배터리', '황사/미세먼지', '2019 상반기 신규상장', '지주사']"
2,091990,셀트리온헬스케어,"['K-뉴딜지수(바이오)', 'K-뉴딜지수(바이오)', 'K-뉴딜지수', '바이오시밀러(복제 바이오의약품)']"
3,066970,엘앤에프,"['K-뉴딜지수(2차전지)', '2차전지(LFP/리튬인산철)', '2차전지', '2차전지(소재/부품)', '전기차']"
4,022100,포스코DX,"['스마트팩토리(스마트공장)', '4차산업 수혜주', '전력저장장치(ESS)', '인터넷은행', '무선충전기술', '스마트홈(홈네트워크)', '황사/미세먼지', 'SI(시스템통합)', '전기차', '전기차(충전소/충전기)', '클라우드 컴퓨팅']"
5,035900,JYP Ent.,"['음원/음반', '엔터테인먼트', '영상콘텐츠']"
6,028300,HLB,"['마리화나(대마)', '치매', '화장품', '줄기세포', '제약업체', '고령화 사회(노인복지)', '유전자 치료제/분석', '2019 하반기 신규상장', '반도체 재료/부품']"
7,041510,에스엠,"['스마트팩토리(스마트공장)', '온실가스(탄소배출권)', '2차전지', '2차전지(소재/부품)', '네옴시티', 'STO(증권형 토큰 발행)', 'NFT(대체불가토큰)', '자동차부품', '음원/음반', '수소차(연료전지/부품/충전소 등)', '지주사', '엔터테인먼트', '전기차', '국내 상장 중국기업']"
8,263750,펄어비스,"['게임', '모바일게임(스마트폰)', '메타버스(Metaverse)', 'K-뉴딜지수', 'K-뉴딜지수(게임)']"
9,068760,셀트리온제약,"['K-뉴딜지수(바이오)', 'K-뉴딜지수(바이오)', 'K-뉴딜지수', '제약업체', '바이오시밀러(복제 바이오의약품)']"
10,403870,HPSP,"['2022 하반기 신규상장', '반도체 장비']"
11,058470,리노공업,"['시스템반도체', '반도체 장비']"
12,293490,카카오게임즈,"['크래프톤 관련주', '게임', '모바일게임(스마트폰)', 'NFT(대체불가토큰)', 'K-뉴딜지수(게임)', '2020 하반기 신규상장']"
13,214150,클래시스,"['화장품', '의료기기', '미용기기']"
14,196170,알테오젠,"['K-뉴딜지수(바이오)', 'K-뉴딜지수(바이오)', 'K-뉴딜지수', '바이오시밀러(복제 바이오의약품)']"
15,277810,레인보우로보틱스,"['로봇(산업용/협동로봇 등)', '지능형로봇/인공지능(AI)', '2021 상반기 신규상장']"
16,393890,더블유씨피,"['2차전지', '2차전지(소재/부품)']"
17,328130,루닛,"['지능형로봇/인공지능(AI)', '의료기기']"
18,039030,이오테크닉스,"['LED장비', '반도체 장비']"
19,214370,케어젠,"['코로나19(진단/치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '화장품', '코로나19(치료제/백신 개발 등)']"
20,000250,삼천당제약,"['코로나19(진단/치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '제약업체', '코로나19(치료제/백신 개발 등)']"
21,121600,나노신소재,"['OLED(유기 발광 다이오드)', '2차전지', '2차전지(소재/부품)', '태양광에너지', 'LED']"
22,357780,솔브레인,"['K-뉴딜지수(2차전지)', 'LCD 부품/소재', '日 수출 규제(국산화 등)', '2차전지', '2차전지(소재/부품)', '지주사', '반도체 재료/부품']"
23,440110,파두,"['2023 하반기 신규상장', '시스템반도체']"
24,005290,동진쎄미켐,"['LCD 부품/소재', '日 수출 규제(국산화 등)', '반도체 재료/부품']"
25,086900,메디톡스,"['보톡스(보툴리눔톡신)', '미용기기']"
26,095340,ISC,"['지주사', '반도체 재료/부품']"
27,034230,파라다이스,['카지노']
28,253450,스튜디오드래곤,"['엔터테인먼트', '영상콘텐츠']"
29,365340,성일하이텍,"['리튬', '2차전지', '폐배터리']"
30,137400,피엔티,"['2차전지(장비)', '전력저장장치(ESS)', '2차전지', 'LCD장비', '리비안(RIVIAN)']"
31,278280,천보,"['K-뉴딜지수(2차전지)', '2차전지(전고체)', '리튬', 'LCD 부품/소재', 'OLED(유기 발광 다이오드)', '2차전지', '2차전지(소재/부품)', 'K-뉴딜지수', '2019 상반기 신규상장', '반도체 재료/부품']"
32,372170,윤성에프앤씨,"['2차전지(장비)', '2차전지']"
33,237690,에스티팜,"['코로나19(렘데시비르)', '모더나(MODERNA)', '제약업체', 'mRNA(메신저 리보핵산)']"
34,240810,원익IPS,"['OLED(유기 발광 다이오드)', 'LCD장비', '태양광에너지', '반도체 장비']"
35,214450,파마리서치,"['보톡스(보툴리눔톡신)', '화장품', '의료기기', 'U-Healthcare(원격진료)', '미용기기']"
36,383310,에코프로에이치엔,"['온실가스(탄소배출권)', '황사/미세먼지']"
37,078600,대주전자재료,"['2차전지(전고체)', '2차전지', '2차전지(소재/부품)', '태양광에너지', 'MLCC(적층세라믹콘덴서)']"
38,065350,신성델타테크,"['로봇(산업용/협동로봇 등)', '2차전지', '2차전지(소재/부품)', '초전도체']"
39,122870,와이지엔터테인먼트,"['음원/음반', '엔터테인먼트']"
40,145020,휴젤,"['보톡스(보툴리눔톡신)', '미용기기']"
41,009520,포스코엠텍,"['북한 광물자원개발', '리튬', '비철금속']"
42,035760,CJ ENM,"['홈쇼핑', '메타버스(Metaverse)', '소매유통', '음원/음반', '영화', '엔터테인먼트', '케이블TV SO/MSO', '미디어(방송/신문)', '영상콘텐츠', 'MVNO(가상이동통신망사업자)']"
43,112040,위메이드,"['게임', '모바일게임(스마트폰)', 'K-뉴딜지수', '블록체인', 'NFT(대체불가토큰)', 'K-뉴딜지수(게임)']"
44,140410,메지온,
45,056190,에스에프에이,"['플렉서블 디스플레이', 'OLED(유기 발광 다이오드)', 'LCD장비', '태양광에너지', '반도체 장비', '우주항공산업', '핵융합에너지']"
46,140860,파크시스템스,
47,336570,원텍,"['로봇(산업용/협동로봇 등)', '플렉서블 디스플레이', '2차전지(장비)', 'OLED(유기 발광 다이오드)', '2차전지', 'LCD장비', '의료기기', '2019 하반기 신규상장', '미용기기']"
48,036930,주성엔지니어링,"['플렉서블 디스플레이', 'LED장비', 'OLED(유기 발광 다이오드)', 'LCD장비', '태양광에너지', '반도체 장비']"
49,222800,심텍,"['SSD', '지주사', 'PCB(FPCB 등)']"
50,225570,넥슨게임즈,"['크래프톤 관련주', '게임', '모바일게임(스마트폰)']"
51,096530,씨젠,"['K-뉴딜지수(바이오)', 'K-뉴딜지수(바이오)', 'K-뉴딜지수', '코로나19(진단/치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '백신/진단시약/방역(신종플루, AI 등)', '코로나19(진단키트)', '엠폭스(원숭이두창)', '슈퍼박테리아', '유전자 치료제/분석']"
52,348370,엔켐,"['2차전지', '2차전지(소재/부품)', '2021 하반기 신규상장', '전기차']"
53,039200,오스코텍,"['면역항암제', '치아 치료(임플란트 등)', '고령화 사회(노인복지)']"
54,213420,덕산네오룩스,"['플렉서블 디스플레이', '아이폰', 'OLED(유기 발광 다이오드)', '갤럭시 부품주', '스마트폰']"
55,281740,레이크머티리얼즈,"['태양광에너지', 'LED', '반도체 재료/부품']"
56,064550,바이오니아,"['탈모 치료', '수자원(양적/질적 개선)', '코로나19(진단/치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '백신/진단시약/방역(신종플루, AI 등)', '코로나19(진단키트)', '엠폭스(원숭이두창)', '메르스 코로나 바이러스', '유전자 치료제/분석', '2019 하반기 신규상장']"
57,064760,티씨케이,"['LED장비', '태양광에너지', '반도체 장비', '반도체 재료/부품']"
58,195940,HK이노엔,"['건강기능식품', '엠폭스(원숭이두창)', '2021 하반기 신규상장', '제약업체', '음식료업종']"
59,048410,현대바이오,"['탈모 치료', '코로나19(진단/치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '엠폭스(원숭이두창)', '화장품', '치아 치료(임플란트 등)', '코로나19(치료제/백신 개발 등)', '고령화 사회(노인복지)']"
60,287410,제이시스메디칼,"['의료기기', '미용기기']"
61,420770,기가비스,"['반도체 장비', '2023 상반기 신규상장']"
62,101490,에스앤에스텍,"['LCD 부품/소재', '日 수출 규제(국산화 등)', '시스템반도체', '반도체 재료/부품']"
63,299030,하나기술,"['2차전지(장비)', '2차전지', '폐배터리', '2020 하반기 신규상장']"
64,310210,보로노이,"['2022 상반기 신규상장', '치매']"
65,085370,루트로닉,"['의료기기', '미용기기']"
66,060280,큐렉소,"['지능형로봇/인공지능(AI)', '4차산업 수혜주', '의료기기', '고령화 사회(노인복지)']"
67,085660,차바이오텍,"['면역항암제', '제대혈', '줄기세포', '고령화 사회(노인복지)', 'U-Healthcare(원격진료)']"
68,091120,이엠텍,"['전력저장장치(ESS)', '2021 하반기 신규상장', '휴대폰부품', '전기차', '전기차(충전소/충전기)', '스마트폰']"
69,058970,엠로,"['지능형로봇/인공지능(AI)', '모바일솔루션(스마트폰)', '2021 하반기 신규상장', '클라우드 컴퓨팅']"
70,376300,디어유,"['메타버스(Metaverse)', '2021 하반기 신규상장', '엔터테인먼트', 'K-뉴딜지수(인터넷)']"
71,067310,하나마이크론,"['시스템반도체', 'SSD', '반도체 장비', '반도체 재료/부품']"
72,418550,제이오,"['탄소나노튜브(CNT)', '2차전지', '2023 상반기 신규상장']"
73,067160,아프리카TV,"['가상현실(VR)', 'K-뉴딜지수', 'NFT(대체불가토큰)', 'SNS(소셜네트워크서비스)', '스포츠행사 수혜(올림픽, 월드컵 등)', 'K-뉴딜지수(인터넷)']"
74,099190,아이센스,"['의료기기', '고령화 사회(노인복지)']"
75,141080,레고켐바이오,"['코로나19(진단/치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '슈퍼박테리아', '코로나19(치료제/백신 개발 등)', '의료기기']"
76,189300,인텔리안테크,"['우주항공산업', '통신장비']"
77,098460,고영,"['스마트팩토리(스마트공장)', '지능형로봇/인공지능(AI)', '시스템반도체', '반도체 장비']"
78,067630,HLB생명과학,['줄기세포']
79,298380,에이비엘바이오,"['치매', '면역항암제']"
80,166090,하나머티리얼즈,['반도체 재료/부품']
81,003380,하림지주,['지주사']
82,294090,이오플로우,"['2020 하반기 신규상장', '의료기기', '맥신(MXene)']"
83,348210,넥스틴,"['2020 하반기 신규상장', '반도체 장비']"
84,095660,네오위즈,"['게임', '모바일게임(스마트폰)', 'K-뉴딜지수', '블록체인', '지주사', 'K-뉴딜지수(게임)', '모바일콘텐츠(스마트폰/태블릿PC)', '가상화폐(비트코인 등)']"
85,087010,펩트론,"['코로나19(진단/치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '치매', '코로나19(나파모스타트)']"
86,015750,성우하이텍,"['2차전지', '2차전지(소재/부품)', '자동차부품']"
87,036540,SFA반도체,"['시스템반도체', 'SSD', '반도체 장비']"
88,016790,카나리아바이오,"['사료', '면역항암제', '아프리카 돼지열병(ASF)']"
89,290650,엘앤씨바이오,"['화장품', '의료기기']"
90,036830,솔브레인홀딩스,"['LCD 부품/소재', '日 수출 규제(국산화 등)', '2차전지', '지주사', '반도체 재료/부품']"
91,272290,이녹스첨단소재,"['폴더블폰', '아이폰', '日 수출 규제(국산화 등)', 'OLED(유기 발광 다이오드)', '갤럭시 부품주', 'PCB(FPCB 등)', '반도체 재료/부품']"
92,222080,씨아이에스,"['2차전지(LFP/리튬인산철)', '2차전지(전고체)', '2차전지(장비)', '전력저장장치(ESS)', '2차전지', '2020 상반기 신규상장', '리비안(RIVIAN)', '전기차']"
93,025900,동화기업,"['2차전지(전고체)', '리모델링/인테리어', '2차전지', '2차전지(소재/부품)']"
94,084370,유진테크,['반도체 장비']
95,074600,원익QnC,['반도체 재료/부품']
96,025980,아난티,"['남북경협', '골프']"
97,352480,씨앤씨인터내셔널,"['2021 상반기 신규상장', '화장품']"
98,046890,서울반도체,"['마이크로 LED', '휴대폰부품', 'LED']"
99,058610,에스피지,"['로봇(산업용/협동로봇 등)', '전기자전거', '제습기', '공기청정기', '가상현실(VR)', '철도']"
100,131970,두산테스나,"['시스템반도체', '사물인터넷']"
101,950160,코오롱티슈진,['고령화 사회(노인복지)']
102,053800,안랩,"['K-뉴딜지수', '클라우드 컴퓨팅', 'K-뉴딜지수(인터넷)', '보안주(정보)']"
103,360070,탑머티리얼,['2차전지']
104,086450,동국제약,"['마스크', '제약업체']"
105,439090,마녀공장,"['화장품', '2023 상반기 신규상장']"
106,378340,필에너지,"['2023 하반기 신규상장', '2차전지(장비)', '2차전지']"
107,095500,미래나노텍,"['터치패널(스마트폰/태블릿PC 등)', '리튬', 'LCD 부품/소재', '태블릿PC', '페라이트']"
108,052020,에스티큐브,"['지능형로봇/인공지능(AI)', '면역항암제']"
109,114190,강원에너지,"['리튬', '원자력발전', '원자력발전']"
110,078340,컴투스,"['게임', '모바일게임(스마트폰)', '메타버스(Metaverse)', 'K-뉴딜지수', 'NFT(대체불가토큰)', '지주사', 'K-뉴딜지수(게임)', '모바일콘텐츠(스마트폰/태블릿PC)']"
111,182400,엔케이맥스,"['건강기능식품', '백신/진단시약/방역(신종플루, AI 등)', '면역항암제']"
112,144510,지씨셀,"['면역항암제', '제대혈', '줄기세포', '콜드체인(저온 유통)']"
113,215200,메가스터디교육,['교육/온라인 교육']
114,228760,지노믹트리,"['코로나19(진단/치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '코로나19(진단키트)', '2019 상반기 신규상장', '유전자 치료제/분석']"
